"","US_States","State_Codes","Group","Electricity_Price","EV_Registration","Population","EV_by_Population"
"1","Alabama","AL","A",9.83,900,4884871,18.4242326972401
"2","Alaska","AK","B",19.1,370,737438,50.1737095186307
"3","Arizona","AZ","B",10.64,9820,7171646,136.928119430323
"4","Arkansas","AR","A",8.26,270,3013825,8.95871525387174
"5","California","CA","B",16.06,179600,39557045,454.027847631187
"6","Colorado","CO","A",9.99,7750,5695564,136.070808790841
"7","Connecticut","CT","B",17.55,2710,3572665,75.8537394354075
"8","Delaware","DE","B",10.91,400,967171,41.3577330172224
"9","Florida","FL","B",10.42,16600,21299325,77.9367421268045
"10","Georgia","GA","A",9.83,13530,10519475,128.618586003579
"11","Hawaii","HI","B",26.05,5360,1420491,377.334316092112
"12","Idaho","ID","A",8.26,710,1754208,40.4741056932815
"13","Illinois","IL","A",9.49,7950,12741080,62.3965943232442
"14","Indiana","IN","A",9.77,1740,6691878,26.0016694865029
"15","Iowa","IA","A",8.73,610,3156145,19.3273756433877
"16","Kansas","KS","B",10.6,970,2911505,33.3161028402836
"17","Kentucky","KY","A",8.57,730,4468402,16.3369365603184
"18","Louisiana","LA","A",7.79,770,4659978,16.5236831590192
"19","Maine","ME","B",13.02,470,1338404,35.11645213254
"20","Maryland","MD","B",11.98,4590,6042718,75.9591958453133
"21","Massachusetts","MA","B",17.12,5520,6902149,79.975091815607
"22","Michigan","MI","B",11.28,2730,9995915,27.3111566074742
"23","Minnesota","MN","B",10.27,2730,5611179,48.6528766948978
"24","Mississippi","MS","A",9.09,260,2986530,8.70575550890164
"25","Missouri","MO","B",10.03,2110,6126452,34.440815010058
"26","Montana","MT","A",8.92,330,1062305,31.064524783372
"27","Nebraska","NE","A",9.08,520,1929268,26.9532278563683
"28","Nevada","NV","A",8.76,3030,3034392,99.8552593073011
"29","New Hampshire","NH","B",16.17,650,1356458,47.9189182414789
"30","New Jersey","NJ","B",13.32,6610,8908520,74.1986323205201
"31","New Mexico","NM","A",9.59,780,2095428,37.2238988884371
"32","New York","NY","B",14.74,10940,19542209,55.9813887979603
"33","North Carolina","NC","A",9.04,4540,10383620,43.7227094211845
"34","North Dakota","ND","A",8.78,140,760077,18.4191864771595
"35","Ohio","OH","A",9.84,3790,11689442,32.4224201634261
"36","Oklahoma","OK","A",8.2,1380,3943079,34.9980307267493
"37","Oregon","OR","A",8.81,9550,4190713,227.884849189148
"38","Pennsylvania","PA","B",10.13,4390,12807060,34.2779685579672
"39","Rhode Island","RI","B",16.42,380,1057315,35.9400935388224
"40","South Carolina","SC","A",9.97,1220,5084127,23.9962534374141
"41","South Dakota","SD","B",10.05,180,882235,20.402727164531
"42","Tennessee","TN","A",9.45,2970,6770010,43.8699499705318
"43","Texas","TX","A",8.38,14390,28701845,50.1361497840992
"44","Utah","UT","A",8.6,3410,3161105,107.873670757536
"45","Vermont","VT","B",14.6,750,626299,119.751109294442
"46","Virginia","VA","A",9.18,4290,8517685,50.3657977490363
"47","Washington","WA","A",7.94,19900,7535591,264.080149785199
"48","West Virginia","WV","A",9,140,1805832,7.7526591620926
"49","Wisconsin","WI","B",10.76,2700,5813568,46.443079361934
"50","Wyoming","WY","A",8.28,100,577737,17.3089139175784
