Per.Capita.GDP,Sales.by.Population,US.State,Population,Gross.Domestic.Product..All.Industries,Per.Capita.Personal.Income,Unemployment.Rate,Count.of.sales,Electricity.Price
7158.432302105,50.173709519,Alaska,737438,52789,56794,7,370,19.1
4318.517316015,18.424232697,Alabama,4884871,210954,40467,4.4,900,9.83
4144.832563271,8.958715254,Arkansas,3013825,124918,40791,3.7,270,8.26
4459.924541730,136.928119430,Arizona,7171646,319850,41633,4.9,9820,10.64
6944.080378097,454.027847631,California,39557045,2746873,58272,4.8,179600,16.06
6017.806138251,136.070808791,Colorado,5695564,342748,53504,2.7,7750,9.99
7300.628522406,75.853739435,Connecticut,3572665,260827,70121,4.7,2710,17.55
18650.305001744,93.956196482,District Of Columbia,702455,131010,76986,6.1,660,11.8
7603.722609549,41.357733017,Delaware,967171,73541,49125,4.5,400,10.91
4541.632187874,77.936742127,Florida,21299325,967337,46858,4.2,16600,10.42
5268.979678168,128.618586004,Georgia,10519475,554269,43270,4.7,13530,9.83
6204.615164756,377.334316092,Hawaii,1420491,88136,51939,2.4,5360,26.05
6026.053936052,19.327375643,Iowa,3156145,190191,45996,3.1,610,8.73
4097.917692771,40.474105693,Idaho,1754208,71886,40507,3.2,710,8.26
6438.716341158,62.396594323,Illinois,12741080,820362,52808,4.9,7950,9.49
5366.535373179,26.001669487,Indiana,6691878,359122,44165,3.6,1740,9.77
5419.774309163,33.316102840,Kansas,2911505,157797,47603,3.7,970,10.6
4531.978098658,16.336936560,Kentucky,4468402,202507,39393,4.9,730,8.57
5284.660142172,16.523683159,Louisiana,4659978,246264,43491,5.1,770,7.79
7641.895299565,79.975091816,Massachusetts,6902149,527455,65890,3.8,5520,17.12
6514.154723090,75.959195845,Maryland,6042718,393632,59524,4.3,4590,11.98
4587.852397333,35.116452133,Maine,1338404,61404,45072,3.4,470,13.02
5051.733633189,27.311156607,Michigan,9995915,504967,45255,4.6,2730,11.28
6257.383697793,48.652876695,Minnesota,5611179,351113,53043,3.4,2730,10.27
4976.746736937,34.440815010,Missouri,6126452,304898,43661,3.8,2110,10.03
3740.360887050,8.705755509,Mississippi,2986530,111707,36346,5.1,260,9.09
4527.701554638,31.064524783,Montana,1062305,48098,43907,3.9,330,8.92
5184.039862784,43.722709421,North Carolina,10383620,538291,43303,4.5,4540,9.04
7300.970822693,18.419186477,North Dakota,760077,55493,54643,2.7,140,8.78
6311.927632657,26.953227856,Nebraska,1929268,121774,50395,2.9,520,9.08
5935.753263278,47.918918241,New Hampshire,1356458,80516,57574,2.7,650,16.17
6642.438923637,74.198632321,New Jersey,8908520,591743,62554,4.6,6610,13.32
4633.420952665,37.223898888,New Mexico,2095428,97090,39023,5.9,780,9.59
5151.377936667,99.855259307,Nevada,3034392,156313,44626,5.1,3030,8.76
7916.791801787,55.981388798,New York,19542209,1547116,60991,4.7,10940,14.74
5553.105101167,32.422420163,Ohio,11689442,649127,45615,5,3790,9.84
4797.266298748,34.998030727,Oklahoma,3943079,189160,43449,4.2,1380,8.2
5636.725779122,227.884849189,Oregon,4190713,236219,46361,4.1,9550,8.81
5872.315738351,34.277968558,Pennsylvania,12807060,752071,52096,4.9,4390,10.13
5623.489688503,35.940093539,Rhode Island,1057315,59458,51503,4.4,380,16.42
4309.353405216,23.996253437,South Carolina,5084127,219093,40421,4.3,1220,9.97
5659.263121504,20.402727165,South Dakota,882235,49928,48281,3.2,180,10.05
5099.224373376,43.869949971,Tennessee,6770010,345218,44266,3.8,2970,9.45
5909.745523328,50.136149784,Texas,28701845,1696206,46942,4.3,14390,8.38
5236.333497306,107.873670758,Utah,3161105,165526,42043,3.3,3410,8.6
5971.833896182,50.365797749,Virginia,8517685,508662,54244,3.7,4290,9.18
5140.835287938,119.751109294,Vermont,626299,32197,51114,3,750,14.6
6719.486235386,264.080149785,Washington,7535591,506353,56283,4.7,19900,7.94
5574.218793003,46.443079362,Wisconsin,5813568,324061,47850,3.3,2700,10.76
4252.555054955,7.752659162,West Virginia,1805832,76794,37924,5.2,140,9
6973.069060836,17.308913918,Wyoming,577737,40286,56724,4.2,100,8.28
