County,Count.of.sales,Gross.Domestic.Product,Mean.Real.Wages,Per.Capita.Personal.Income,Unemployment.Rate,Population,Sales.by.Population,GDP.by.Population,Sales.by.Personal.Income
Adams,68,903070,0,42314,5.7,19759,0.00344147,45.70423604,0.001607033
Asotin,117,723917,0,45322,4.2,22610,0.005174701,32.0175586,0.002581528
Benton,3096,11126784,28.2,46034,5.5,201877,0.015336071,55.11665024,0.067254638
Chelan,1264,4506580,25.66,52454,4.8,77036,0.016407913,58.4996625,0.024097304
Clallam,1823,2595089,23.45,44045,6.8,76737,0.023756467,33.81796265,0.041389488
Clark,14210,0,31.59,50766,5.1,481857,0.029490077,0,0.279911752
Columbia,27,466039,0,47011,5.6,4059,0.006651885,114.8162109,0.000574334
Cowlitz,1239,4880652,22.47,43046,6.1,108987,0.011368328,44.78196482,0.028783162
Douglas,578,1990605,0,40050,5.7,42907,0.013470995,46.39347892,0.01443196
Ferry,37,215137,0,36027,11,7649,0.004837234,28.12616028,0.001027008
Franklin,735,3580671,26.68,36666,6.3,94347,0.007790391,37.95214474,0.020045819
Garfield,8,144923,0,42659,5.3,2247,0.003560303,64.49621718,0.000187534
Grant,610,5854433,25.93,39488,6.3,97331,0.006267274,60.14972619,0.015447731
Grays Harbor,890,2727581,0,38942,7.1,73901,0.012043139,36.9085804,0.022854502
Island,3093,2992283,28.13,52459,5.2,84460,0.036620886,35.42840398,0.058960331
Jefferson,1828,1047446,0,50090,6.1,31729,0.057612909,33.01226008,0.03649431
King,156560,278265057,35.7,84542,3.6,2233163,0.070106839,124.6057977,1.851860614
Kitsap,10336,12216111,27.33,52833,4.9,269805,0.038309149,45.27755601,0.195635304
Kittitas,622,1748705,0,41114,5.3,47364,0.013132337,36.92055147,0.015128667
Klickitat,443,1257710,0,46695,5.9,22107,0.020038902,56.89193468,0.009487097
Lewis,1051,3630958,21.62,41100,6.6,79604,0.013202854,45.61275815,0.025571776
Lincoln,60,467266,0,45266,4.9,10740,0.005586592,43.50707635,0.001325498
Mason,1448,1625792,0,40735,6.6,65507,0.022104508,24.81859954,0.035546827
Okanogan,245,1547129,0,41514,6.8,42132,0.005815057,36.72099592,0.005901624
Pacific,254,750770,0,40409,7,22036,0.011526593,34.07015792,0.006285728
Pend Oreille,48,643805,0,40008,7.4,13602,0.003528893,47.33164241,0.00119976
Pierce,20671,41726388,29.28,49137,5.3,891299,0.023191993,46.81525279,0.420680953
San Juan,1589,727197,0,72862,4,17128,0.092772069,42.45662074,0.02180835
Skagit,2910,0,27.34,50119,5.5,128206,0.022697846,0,0.058061813
Skamania,192,320769,0,43372,6.1,11924,0.016101979,26.90112378,0.004426819
Snohomish,30083,40948748,34.19,52453,4,814901,0.036916141,50.24996656,0.573522963
Spokane,5853,24791117,25.79,44552,5.4,514631,0.011373197,48.17260717,0.131374574
Stevens,341,1180118,0,37812,7.3,45260,0.007534247,26.07419355,0.009018301
Thurston,9740,13026185,0,48820,4.9,286419,0.034006124,45.47947238,0.199508398
Wahkiakum,38,108090,0,40917,7.2,4426,0.00858563,24.42159964,0.000928709
Walla Walla,571,3228364,0,44178,4.9,60922,0.00937264,52.99175996,0.012924985
Whatcom,7177,13718942,26.25,46719,5,225685,0.031800962,60.78800984,0.153620583
Whitman,411,2583738,0,38557,4.4,49791,0.008254504,51.89166717,0.010659543
Yakima,1140,10082400,21.82,41868,6.8,251446,0.004533777,40.09767505,0.027228432
